,BERT,RoBERTa Large,DeBERTa Large,BART Large,XLNet Large,ELECTRA Large,ALBERT Large v2,Average
comedy,0.2770957700548451,,,,0.2710264439371068,0.27220469322841484,0.26843988290990567,0.2721916975325681
drama,0.5388798951399519,,0.5428754266211604,0.5188834154351396,0.5359614319985238,0.5384615384615384,0.5484598459845985,0.5372535922734855
thriller,0.2230084917104731,,0.125,0.21674876847290642,0.20567406511788583,0.20235360044830486,0.21330133168163518,0.19768104290520092
romance,0.2000734521884242,,0.1598534124869843,0.16665387861582137,,0.18032666196901653,0.1761633765238494,0.17661415635681915
adventure,0.21139814632222442,,0.07476197243143384,0.08436478139760203,0.09282399708588714,0.08154446277814267,0.09443599217561399,0.10655489203181734
horror,0.1324897983148871,,0.10286914622491239,0.10288491365939406,0.10574385631385479,0.1030231940509915,0.10320602390933085,0.10836948874556179
action,0.27948422266484957,0.15401028028319272,0.15612496463646283,0.1556415399087698,0.15858485898070263,0.1557188694630055,0.23523510971786835,0.18497140652212166
war,0.16701969921626775,0.04373969547085637,0.03962118493873069,0.04458342528850193,0.05136285503806172,0.04374350625899401,0.047655382907880135,0.06253224987418465
crime,0.313682993787025,0.11812627291242363,0.11744074590449634,0.12022665992585103,0.13581456088801827,0.11808381523523952,,0.15389584144217563
documentary,0.04200556506849315,,,,0.03273474770197417,0.03291413785886874,0.03454993506277265,0.03555109642302718
sci-fi,0.07239082836637879,,,,0.07166595032695791,0.07205575761264894,0.0713353256098504,0.07186196547895901
western,0.07729361941272103,0.03278052565221608,0.028606146524226623,0.03522225323896944,0.037817396002161,0.02546448087431694,0.036536753149131,0.03910302497910601
mystery,0.06904635527246993,,0.06119087384888834,0.06888260254596888,0.05798363456284607,0.056700138504155125,0.05862554616630071,0.06207152515010484
fantasy,0.08133324003452055,,0.044124407140809806,0.0445033035480397,0.049061119293078055,0.04652828873484878,0.03939215107701387,0.0508237516380518
children,0.07876583469208578,0.03132576859664436,0.03253802875599083,0.03308857008038279,0.032894984384994545,0.030717329545454544,0.03293322190989896,0.03889481970935026
animation,0.03572218535722185,,,,,0.016706443914081145,,0.0262143146356515
film-noir,0.011932367149758455,,,,,0.012282558766551497,,0.012107462958154975
musical,0.043520729324940305,,,,,0.0286897152818129,0.033586039193248464,0.03526549460000056
imax,0.005777667411638109,,,,,0.004721362229102168,0.006580958825150991,0.005693329488630422
