,BERT,RoBERTa Large,DeBERTa Large,BART Large,XLNet Large,ELECTRA Large,ALBERT Large v2
,Count,Count,Count,Count,Count,Count,Count
sci-fi,0.04556022001468612,,,,0.18051733931861952,0.04552211923465924,0.15229851614780332
film-noir,0.04301924435762085,,,,,0.03468625739501503,
imax,0.04184504759133796,,,,,0.008950219599041246,0.13821231140113888
drama,0.14163999612064784,,0.00649514388240021,0.00042187954611579864,0.030031727558640565,2.7016916746331934e-05,0.05037615861008354
comedy,0.1542229519098882,,,,0.1665842304335176,0.05422987932443853,0.05750654640675007
horror,0.0943874087313133,,0.13916898735054103,0.03349751305817643,0.10421533175388281,0.09390248971278939,0.12493453593249927
thriller,0.12677307175415992,,0.00649514388240021,0.00042187954611579864,0.04812751984704269,0.02472394253016889,0.01789489726644222
adventure,0.010538675755434556,,0.048748216190753285,0.028599830971084973,0.0437403882123114,0.17297199939038752,0.019123820607672804
romance,0.10751555204566551,,0.10245507571664103,0.01805699876692021,,0.06586793576901229,0.14643792343821438
war,0.0065408648184324646,0.2,0.063712124360946,0.1946146279285645,0.016926444712304475,0.12468029981850173,0.009986560815772337
animation,0.006263768236418804,,,,,0.0005805173393186195,
action,0.006608060739570778,0.2,0.1885455200410103,0.19514873159039584,0.002800060961248043,0.0654176538232401,0.005524613103897363
fantasy,0.029699904401679206,,0.12809412970891004,0.023800518170608364,0.03762971583745515,0.07155465037338764,0.01408620474666445
documentary,0.05178380924671294,,,,0.14288762348116435,0.03641118361805007,0.04160466630644111
children,0.005523227620987295,0.2,0.06648932485417793,0.16736217908752096,0.07364395860177064,0.031212158998018758,0.018237111545229088
crime,0.0047944636102913675,0.2,0.06359920750377544,0.16442911176690636,0.006365601230308824,0.13584521384928716,
western,0.03451445751416656,0.2,0.09577635534865678,0.16874904748049932,0.042314726297851116,0.006338584313562492,0.030412042617454314
mystery,0.031322997630824224,,0.09042077115978775,0.004897682087091456,0.10421533175388281,0.008002549288554525,0.12493453593249927
musical,0.0574462779001621,,,,,0.019075328705820415,0.048429555121437574
