,BERT,RoBERTa Large,DeBERTa Large,BART Large,XLNet Large,ELECTRA Large,ALBERT Large v2
,Count,Count,Count,Count,Count,Count,Count
sci-fi,0.08276182163293015,,,,,,
comedy,0.379189353949319,,,,,0.012032919073943223,0.16441872064508084
thriller,0.08030258946755892,,,,,6.9274145503415216e-06,
drama,0.1860426451639719,,,,0.04539188384111282,,0.03929229532953711
horror,0.08406763927566953,,,,,0.00016972165648336727,
adventure,0.002667054601881486,,,,0.08111656067722404,0.18389168294609087,0.009494021641243055
documentary,0.0010529670116519113,,,,0.5210766587694141,0.02535780096152514,0.020643695360017734
war,0.0014790030064979148,0.10641547861507128,0.03387505715117004,0.10375881513501531,0.022839685772475995,0.2678761932471563,0.009708771492303642
imax,0.09927331421366918,,,,,,0.6246726796624964
action,0.0004849190185239065,0.6060760353021045,0.7954680854011665,0.22197860814386855,0.0011915153026587418,4.1564487302049126e-05,0.00018011277830887957
animation,0.0005749754076783463,,,,,0.00012815716918131815,
romance,0.013692034858750018,,,,,0.0003082699474901977,
fantasy,0.012666777505299473,,,,,0.00014893941283234272,
mystery,0.0003810078002687837,,0.03247571941200105,0.0021093977305789934,,0.00019050390013439184,
western,0.019365587375479724,0.17134959890269755,0.05708535960208931,0.19921858763872147,0.06916330687060974,0.00013508458373165966,0.009622178810424374
children,0.00034983443479224684,0.013872147637058897,0.07019549163861064,0.030969006747301773,0.25519209720548097,0.0019327486595452845,0.03581819693254084
musical,0.035173947379359076,,,,,0.00020089502195990412,0.08614932734804716
crime,0.0004745278966983942,0.10228673954306773,0.010900286794962384,0.4419655846045139,0.004028291561023595,0.5075785915180736,
