llm,recall@1_0,recall@5_0,recall@10_0,recall@1_1a,recall@1_1b,recall@1_2a,recall@1_2b,recall@1_3a,recall@1_3b,recall@1_4a,recall@1_4b,recall@1_5a,recall@1_5b,recall@1_6a,recall@1_6b,recall@1_7a,recall@1_7b,recall@1_8a,recall@1_8b,recall@1_9a,recall@1_9b,recall@5_1a,recall@5_1b,recall@5_2a,recall@5_2b,recall@5_3a,recall@5_3b,recall@5_4a,recall@5_4b,recall@5_5a,recall@5_5b,recall@5_6a,recall@5_6b,recall@5_7a,recall@5_7b,recall@5_8a,recall@5_8b,recall@5_9a,recall@5_9b,recall@10_1a,recall@10_1b,recall@10_2a,recall@10_2b,recall@10_3a,recall@10_3b,recall@10_4a,recall@10_4b,recall@10_5a,recall@10_5b,recall@10_6a,recall@10_6b,recall@10_7a,recall@10_7b,recall@10_8a,recall@10_8b,recall@10_9a,recall@10_9b,recall@1_10a,recall@1_11a,recall@1_12a,recall@1_13a,recall@1_14a,recall@1_15a,recall@1_16a,recall@1_17a,recall@1_18a,recall@5_10a,recall@5_11a,recall@5_12a,recall@5_13a,recall@5_14a,recall@5_15a,recall@5_16a,recall@5_17a,recall@5_18a,recall@10_10a,recall@10_11a,recall@10_12a,recall@10_13a,recall@10_14a,recall@10_15a,recall@10_16a,recall@10_17a,recall@10_18a,average_recall@1,average_recall@5,average_recall@10
BERT,0.35816118708175737,0.6413772161953716,0.8306923719929248,0.37115701677819807,0.3847347492968674,0.40568325089710017,0.3831830084375909,0.4174182911453787,0.36611385898554943,0.47492968674231406,0.3727087576374745,0.4575695858791582,0.3480748714964601,0.5113955969353118,0.3528270778779944,0.47851808747939095,0.3417709242556493,0.422170497526913,0.35234215885947046,0.38366792745611483,0.344583454563088,0.6978522705755758,0.7057599142847906,0.7127372062198947,0.7128704434930795,0.7099415326211952,0.7128889165985471,0.6998251982395131,0.7117477405082876,0.6718860117027123,0.6897843726764297,0.6658302968166221,0.7006578734684641,0.7089352102008488,0.7017253880506716,0.6953422373701688,0.6906837819988823,0.6637954842493685,0.6979243156868994,0.8605495287048968,0.8543490308547043,0.8682726722732541,0.8553777519154301,0.8634398769691175,0.8494633562861668,0.850590908461144,0.8426544005246362,0.8047997746281133,0.8088391500524175,0.7962347192780711,0.8110771667798145,0.8446319464649403,0.8205023761031909,0.8538913596667452,0.8279403411058924,0.8304021133232654,0.8312537234853207,0.05731742798952575,0.02987101154107264,0.05537775191543012,0.04955872369314324,0.010862186014935505,0.17360100863155853,0.1312190864125691,0.15255552322762098,0.16826689942779555,0.09157141471659948,0.15439521361837336,0.08526261828560344,0.0854679006701119,0.08304515288803913,0.4097972114847297,0.4767375110261348,0.34970697036452053,0.3998032614267703,0.620803949549949,0.621305725277212,0.2598330031265731,0.2541061095178058,0.6459830232160753,0.7856360059298667,0.8279701289884588,0.7953632505276381,0.695260724792293,0.5315511446068097,0.5474054523370787,0.7646865889212826
RoBERTa Large,0.14974299292018234,0.15495910516277114,0.7492610757812969,0.1572107458054505,0.15982930850547958,0.1628358064203278,0.1648724662981282,0.15701677819804094,0.1643875472796043,0.15342837746096402,0.1644845310833091,0.15944137329066047,0.15701677819804094,0.15439821549801183,0.16050819513141307,0.16089613034623218,0.15323440985355447,0.16816991562409078,0.16070216273882262,0.16603627194258558,0.14974299292018234,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.1311221026088643,0.1078459897197168,0.1109494714382698,0.11919309475317622,0.11667151585685191,0.1373290660459703,0.11405295315682282,0.10619726505673553,0.11705945107167103,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.15495910516277114,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.7492610757812969,0.4475658219839193,0.15495910516277117,0.7492610757812971
DeBERTa Large,0.15381631267578313,0.1897538920524082,0.8412723813218431,0.15371932887207837,0.15313742604984967,0.15294345844244012,0.14799728445349628,0.15304044224614488,0.14140238580157113,0.15410726408689748,0.14770633304238193,0.15333139365725923,0.1452817379497624,0.15342837746096402,0.144117932305305,0.15284647463873532,0.14954902531277275,0.15284647463873532,0.14760934923867713,0.1524585394239162,0.1514887013868684,0.19153516124711936,0.19821595983946871,0.19377548711269976,0.2311047840724885,0.20476305933099648,0.2535426798010446,0.2013783245816996,0.23857646249266845,0.19481483020906934,0.21283442093741772,0.2048034692492068,0.22302510956860683,0.21094993326590647,0.22064993003311303,0.21880169583108192,0.23331693845223084,0.21761687702915516,0.2282947938170516,0.8359535124300909,0.8437965002701692,0.8340745666902201,0.8438045822538113,0.8342853910063686,0.8414058495088463,0.8295227935030088,0.8437302280043041,0.8360384887152417,0.8420498681482097,0.8411204400293721,0.84253247802855,0.8447582563235748,0.8439225792149855,0.8458858084985521,0.8445765271485376,0.845657896559846,0.8455156536477456,0.14276015905343808,0.14052953156822812,0.10881582775676463,0.14014159635340898,0.05848123363398312,0.034623217922606926,0.041509067985646395,0.10173601008631558,0.09863252836776258,0.15478615071283094,0.1555862670933954,0.15495910516277114,0.15499143309733937,0.19688220162470962,0.16220471895479172,0.1642510772129626,0.1558966152652507,0.1917838554294766,0.7506835049023003,0.7539366187751407,0.7492610757812969,0.7492610757812969,0.8136197588336082,0.7782749352286739,0.7869395144344228,0.7548281770277696,0.8020786861927391,0.47583651004771993,0.19853911548132006,0.8185281124378759
BART Large,0.16816991562409078,0.15601622862315329,0.7522158490008358,0.13820192027931336,0.1457666569682863,0.15071283095723015,0.14566967316458151,0.14877315488313453,0.14722141402385802,0.1488701386868393,0.1462515759868102,0.15594995635728834,0.1400446125497042,0.15536805353505964,0.1425661914460285,0.13354669770148386,0.13975366113858986,0.13994762874599942,0.1462515759868102,0.1478033168460867,0.15546503733876443,0.15541169624672682,0.15499143309733943,0.15514499078653862,0.15499143309733943,0.15504800698283386,0.15495910516277114,0.1550399249991918,0.15495910516277114,0.1550399249991918,0.15501082985808037,0.1550399249991918,0.15499143309733943,0.1550884169010442,0.15499143309733943,0.15518540070474898,0.15495910516277114,0.1550884169010442,0.15495910516277114,0.7499431952006872,0.7492853217322231,0.7497298308325367,0.7494307974377803,0.7495358632251272,0.7492853217322231,0.7494065514868541,0.7492610757812969,0.7493823055359279,0.7492853217322231,0.7492853217322231,0.7492610757812969,0.74939038751957,0.7492610757812969,0.7494469614050643,0.7492610757812969,0.7495358632251272,0.7492610757812969,0.15536805353505964,0.15449519930171662,0.10231791290854428,0.1219086412569101,0.15750169721656485,0.09795364174182912,0.12210260886431966,0.10096013965667734,0.17331005722044418,0.19588557758473382,0.19873944146565617,0.2121264391703728,0.20988218776988052,0.17199200114533253,0.19483561245272038,0.18441978284864521,0.1907618308694829,0.1574645200918113,0.8474495568763826,0.849642314495384,0.8470583888681068,0.8498983979199283,0.7818162295468085,0.8271554650373387,0.7927179018246809,0.8085290327943805,0.7566447760366876,0.4568683624647609,0.16653654673002943,0.7715134405037352
XLNet Large,0.10697313548637377,0.343636938821693,0.5586749703275743,0.0715740471341286,0.0508195131413054,0.05605663854136359,0.041509067985646395,0.059935990689554845,0.047909999030161965,0.04344874405974202,0.04170303559305596,0.03656289399670255,0.044224614489380275,0.03859955387450296,0.04247890602269421,0.04335176025603724,0.06391232664145088,0.04470953350790418,0.05828726602657356,0.04858888565609543,0.06779167878964212,0.3180618479571055,0.3014242764315502,0.3103613339429458,0.2936494081678836,0.30648613824348475,0.29966494404958177,0.29685149008686973,0.29530690755596195,0.2829061427693955,0.2965919429550503,0.28891752220236366,0.3004237268566626,0.28668666380333535,0.3329853462090878,0.2781828006151544,0.32168096023202225,0.2670128064803654,0.3186880862324563,0.518299920103819,0.5038040742434109,0.5205635682650521,0.4922209752876031,0.5394539350023784,0.5000856690266059,0.5177969898074641,0.4958707991003597,0.5135929728306801,0.5032554230110238,0.5035849370298018,0.5124898975204474,0.5175415991243748,0.5466168816474316,0.5409195450074122,0.5447739584632223,0.5333744359929987,0.5570982907759167,0.03491416933372127,0.03695082921152167,0.03569003976335952,0.03365337988555911,0.04325477645233246,0.17883813403161672,0.14702744641644847,0.08893414799728445,0.1727281543982155,0.29153100479838917,0.2953553994578143,0.292723905583958,0.29163607058573593,0.296281594783195,0.3943790958338529,0.38654465180505326,0.3446040058929206,0.40733474652590157,0.4837494400339905,0.48698708268100177,0.486620160623652,0.4842990149216509,0.4871018468487191,0.743675732343175,0.6458587915818058,0.5765366160041749,0.7373669359121788,0.3005829130701839,0.3121396342457068,0.5375790879827831
ELECTRA Large,0.10774900591601203,0.19393989775136125,0.4432905680941759,0.09135874308990398,0.09640190088255261,0.1047425080011638,0.11259819610125109,0.1182232567161284,0.1115313742604985,0.10445155659004947,0.11599262923091844,0.11114343904567937,0.1182232567161284,0.11560469401609931,0.10454854039375425,0.11424692076423237,0.11211327708272718,0.11230724469013675,0.11027058481233634,0.10658520027155464,0.11541072640868975,0.19786774180140487,0.19495776586262473,0.20821614457052337,0.16799788482942396,0.20877703423528268,0.14711565549505612,0.20407193427269074,0.14340510134807485,0.2020971592982067,0.1409151576448638,0.20626515371932885,0.14382952094619247,0.20620303790219413,0.15742503382887438,0.20492031164128924,0.1543862079794579,0.1988542056333735,0.17395199763544247,0.4387071597138516,0.3457823591079337,0.43489500348679866,0.3821764551034263,0.4317834397846036,0.4161006968979038,0.4011245502953388,0.4420778087202294,0.42817725868351414,0.4447571017544832,0.4272381321843062,0.4461887674282204,0.4437214532792072,0.4020396617574389,0.4266342925493347,0.4182987655347271,0.43163634768231796,0.38109993488230326,0.04373969547085637,0.04373969547085637,0.06643390553777519,0.0783629133934633,0.04529143633013287,0.046649209581999806,0.052565221607991465,0.04752206381534284,0.05586267093395403,0.28117151816599006,0.2317446462631217,0.2502694764260083,0.2724778438191298,0.2783927012760298,0.33232955096498884,0.2897312624982104,0.30399249991918015,0.323118398751218,0.45710775824246874,0.45722898799709966,0.473092305489745,0.4769497208251936,0.45741810641432407,0.4954267518276828,0.47980335379229766,0.47688506495605704,0.49082648673861945,0.26453818143492486,0.21494374444569792,0.4375167247579858
ALBERT Large v2,0.008340607118611192,0.18086070816649807,0.34380596773672123,0.03646591019299777,0.01706914945204151,0.1219086412569101,0.040539229948598585,0.09989331781592474,0.04655222577829502,0.06139074774512657,0.046067306759771116,0.06478518087479392,0.08321210357870236,0.09533507904180002,0.11318009892347979,0.05799631461545922,0.08224226554165455,0.03598099117447386,0.07972068664533023,0.049170788478324116,0.059645039278440504,0.20590769912853127,0.18931769584955502,0.3403900596219479,0.21036549039167599,0.46899150698976133,0.2200592524857872,0.2915129935205582,0.21934388147655537,0.3183708106460506,0.25613699655014754,0.3601842230442754,0.28787979550272247,0.2330864864615228,0.25740840803395354,0.22151077674790215,0.2546466787665508,0.22523172201670894,0.23658852543053882,0.3699883619435555,0.3513868683929784,0.5400178265467762,0.3747890602269421,0.6710930536505165,0.3852940225648983,0.4823676517450157,0.3839863576116122,0.5197943943361459,0.42745519117355024,0.6425805081027659,0.4634678175411373,0.3997171305725277,0.42664468367116026,0.4164412947799622,0.4247987586073126,0.39612803709399574,0.4052888500953674,0.006303947240810784,0.006303947240810784,0.006303947240810784,0.006303947240810784,0.006303947240810784,0.2614683347880904,0.2919212491513917,0.26175928619920474,0.2220929104839492,0.1797082172991396,0.1797082172991396,0.1797082172991396,0.1797082172991396,0.1797082172991396,0.4968699631923374,0.5595118020052556,0.5008922509940839,0.5237012252287201,0.34254841108201595,0.34254841108201595,0.34254841108201595,0.34254841108201595,0.34254841108201595,0.7339972105610744,0.7418335019004206,0.7500270169167463,0.7059453380809213,0.27389014571981446,0.28418964424097626,0.46677110568793506
