title,bert-base-uncased,roberta-large,microsoft/deberta-large,facebook/bart-large,xlnet-large-cased,google/electra-large-discriminator,albert-large-v2,Average
Another Stakeout,0.5714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571,0.17857142857142858,0.11224489795918367
Bad Girls,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.015306122448979591
Barcelona,0.5714285714285714,0.0,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.10714285714285714
Being Human,0.17857142857142858,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.030612244897959186
Blink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blown Away,0.14285714285714285,0.75,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.2704081632653061
Body Snatchers,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531
Cabin Boy,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.08163265306122448
Calendar Girl,0.6428571428571429,0.0,0.0,0.0,0.07142857142857142,0.03571428571428571,0.42857142857142855,0.1683673469387755
Carlito's Way,0.10714285714285714,0.0,0.03571428571428571,0.6428571428571429,0.03571428571428571,0.21428571428571427,0.0,0.1479591836734694
City Slickers The Legend of Curly's Gold,0.8214285714285714,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.35714285714285715,0.14285714285714285,0.24489795918367346
Clean Slate,0.35714285714285715,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.07142857142857142
Cliffhanger,0.17857142857142858,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.0,0.3112244897959183
Color of Night,0.39285714285714285,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.061224489795918366
Dangerous Game,0.10714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.02551020408163265
Dave,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.16326530612244897
Dazed and Confused,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0510204081632653
Demolition Man,0.07142857142857142,0.8571428571428571,0.8214285714285714,0.17857142857142858,0.03571428571428571,0.39285714285714285,0.0,0.336734693877551
With Honors,0.5357142857142857,0.0,0.0,0.0,0.03571428571428571,0.0,0.25,0.1173469387755102
For Love or Money,0.21428571428571427,0.0,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.05612244897959184
Free Willy,0.03571428571428571,0.14285714285714285,0.0,0.03571428571428571,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.13265306122448978
Fresh,0.2857142857142857,0.03571428571428571,0.0,0.6785714285714286,0.10714285714285714,0.32142857142857145,0.0,0.20408163265306123
Getting Even with Dad,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.14285714285714285
Guilty as Sin,0.21428571428571427,0.7142857142857143,0.03571428571428571,0.8214285714285714,0.07142857142857142,0.42857142857142855,0.0,0.32653061224489793
Hard Target,0.25,0.75,0.7857142857142857,0.8928571428571429,0.07142857142857142,0.6785714285714286,0.0,0.489795918367347
Hot Part Deux,0.8214285714285714,0.75,0.8214285714285714,0.2857142857142857,0.0,0.25,0.21428571428571427,0.4489795918367347
I'll Do Anything,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.12244897959183675
In the Line of Fire,0.17857142857142858,0.5357142857142857,0.8214285714285714,0.10714285714285714,0.0,0.0,0.0,0.2346938775510204
In the Name of the Father,0.2857142857142857,0.0,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.061224489795918366
Jurassic Park,0.2857142857142857,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.07142857142857142,0.2857142857142857,0.0,0.4948979591836736
King of the Hill,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.00510204081632653
Lassie,0.0,0.0,0.03571428571428571,0.39285714285714285,0.35714285714285715,0.10714285714285714,0.0,0.12755102040816327
Life with Mikey,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1326530612244898
Lightning Jack,0.5357142857142857,0.0,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.14795918367346936
M. Butterfly,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.030612244897959183
Malice,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183
Manhattan Murder Mystery,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142
Executive Decision,0.2857142857142857,0.8214285714285714,0.8928571428571429,0.25,0.07142857142857142,0.03571428571428571,0.0,0.336734693877551
Much Ado About Nothing,0.6785714285714286,0.0,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.12244897959183675
Naked,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.02040816326530612
No Escape,0.14285714285714285,0.4642857142857143,0.8571428571428571,0.14285714285714285,0.10714285714285714,0.0,0.03571428571428571,0.25000000000000006
Philadelphia,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366
Poetic Justice,0.35714285714285715,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0663265306122449
Radioland Murders,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.04591836734693877
Renaissance Man,0.5357142857142857,0.0,0.0,0.0,0.0,0.07142857142857142,0.10714285714285714,0.1020408163265306
Rising Sun,0.2857142857142857,0.6071428571428571,0.7142857142857143,0.14285714285714285,0.03571428571428571,0.0,0.0,0.25510204081632654
Robin Men in Tights,0.75,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.15306122448979592
Romeo Is Bleeding,0.03571428571428571,0.17857142857142858,0.0,0.6785714285714286,0.0,0.5357142857142857,0.0,0.20408163265306123
Romper Stomper,0.0,0.7142857142857143,0.8571428571428571,0.17857142857142858,0.03571428571428571,0.0,0.0,0.25510204081632654
Rudy,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.04081632653061224
Schindler's List,0.0,0.03571428571428571,0.0,0.8928571428571429,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.17346938775510207
Second Best,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
Shadowlands,0.39285714285714285,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.07142857142857142
Sirens,0.6785714285714286,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.1173469387755102
Six Degrees of Separation,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.08163265306122448
Sliver,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612
Blade Runner,0.5,0.8571428571428571,0.9642857142857143,0.17857142857142858,0.0,0.0,0.0,0.35714285714285715
Striking Distance,0.0,0.7142857142857143,0.6785714285714286,0.9642857142857143,0.0,0.32142857142857145,0.0,0.38265306122448983
Super Mario Bros.,0.8928571428571429,0.9642857142857143,0.75,0.9285714285714286,0.4642857142857143,0.21428571428571427,0.14285714285714285,0.6224489795918368
Terminal Velocity,0.25,0.8928571428571429,0.8571428571428571,0.6785714285714286,0.0,0.0,0.0,0.38265306122448983
Trial by Jury,0.5357142857142857,0.6785714285714286,0.03571428571428571,0.8571428571428571,0.03571428571428571,0.42857142857142855,0.0,0.36734693877551017
True Romance,0.0,0.0,0.0,0.5357142857142857,0.0,0.4642857142857143,0.0,0.14285714285714285
Germinal,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.02551020408163265
Chasers,0.25,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.05612244897959184
Spanking the Monkey,0.6785714285714286,0.0,0.0,0.0,0.10714285714285714,0.07142857142857142,0.17857142857142858,0.14795918367346936
Andre,0.35714285714285715,0.0,0.10714285714285714,0.03571428571428571,0.2857142857142857,0.14285714285714285,0.10714285714285714,0.1479591836734694
Ghost,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.07653061224489796
Aladdin,0.21428571428571427,0.0,0.0,0.39285714285714285,0.4642857142857143,0.21428571428571427,0.21428571428571427,0.21428571428571425
Terminator Judgment Day,0.07142857142857142,0.9642857142857143,0.7857142857142857,0.8571428571428571,0.0,0.0,0.0,0.38265306122448983
Dances with Wolves,0.0,0.6071428571428571,0.14285714285714285,0.7857142857142857,0.17857142857142858,0.32142857142857145,0.07142857142857142,0.3010204081632653
Batman,0.2857142857142857,0.8928571428571429,0.9285714285714286,0.8571428571428571,0.0,0.2857142857142857,0.0,0.4642857142857143
Beauty and the Beast,0.21428571428571427,0.10714285714285714,0.03571428571428571,0.6785714285714286,0.25,0.0,0.8214285714285714,0.30102040816326525
Pretty Woman,0.5714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.11224489795918366
One Fine Day,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.030612244897959183
Farewell to the Flesh,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224
Century,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.02040816326530612
Fargo,0.7142857142857143,0.0,0.0,0.6428571428571429,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.25000000000000006
Jane Eyre,0.25,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.04081632653061224
Loaded,0.2857142857142857,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.04591836734693877
Ed,0.10714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.04591836734693877
