,BERT,RoBERTa Large,DeBERTa Large,BART Large,XLNet Large,ELECTRA Large,ALBERT Large v2,Average
comedy,0.27209965537479874,0.27048782853263503,0.27048782853263503,0.27048782853263503,0.27048782853263503,0.2713767032591517,0.26987163523578817,0.27075704400003986
drama,0.5360438203980867,0.5332169527688876,0.5332169527688876,0.5332169527688876,0.5358664284732719,0.549434187016081,0.5432077190967758,0.5377432876129826
thriller,0.21080450869415793,,0.20815835251533096,0.20994702766333137,0.20695415412078086,0.2071760853670167,0.20591409453917547,0.20815903714996556
action,0.20228786872603416,0.15401028028319272,0.15612496463646283,0.1556415399087698,0.1604763827210335,0.15428695051103594,0.15629761572633433,0.16273222893040903
romance,0.18284055867948484,0.1753467170982446,0.1753467170982446,0.1753467170982446,0.1753467170982446,0.17670584643565868,0.17496836657804568,0.17655737715516678
adventure,0.11086747978621352,0.08136941130831152,0.08136941130831152,0.08136941130831152,0.09281867428968524,0.08181439657709785,0.08207934336525308,0.08738401827759776
horror,0.10857819622388601,,0.10286914622491239,0.10288491365939406,0.10436859948356725,0.10433956906864274,0.10389259441954232,0.10448883651332413
crime,0.17270310192023633,0.11812627291242363,0.11744074590449634,0.12022665992585103,0.13306414609525558,0.1182102138947332,0.11699567988531355,0.1281095457911871
mystery,0.06538342904983623,,0.05654673379878751,0.058910847862153275,0.05742561981964242,0.05782123682087518,0.05738276662811129,0.05891177232990099
war,0.07168974719986551,0.04373969547085637,0.03962118493873069,0.04458342528850193,0.0514205760037312,0.04337303078226983,0.046374874707651184,0.0486860763416581
fantasy,0.05004426113094485,0.045776355348656775,0.045776355348656775,0.045776355348656775,0.045776355348656775,0.045705286015980146,0.045776355348656775,0.046375903412886985
sci-fi,0.069472116370389,,0.07074452599482095,0.07227722772277227,0.07166595032695791,0.07091494418870536,0.0713353256098504,0.07106834836891598
documentary,0.03545956854830809,,0.016531569965870307,0.07060755336617405,0.03259436688831502,0.0325837413216054,0.033589293231336456,0.03689434888693489
imax,0.00549875598486274,,,,0.00612806888259706,0.006693692000680108,0.0064430977960064145,0.006190903666036581
western,0.048916517028334904,0.03278052565221608,0.028606146524226623,0.03522225323896944,0.03778505876407974,0.032235426932523764,0.035653110597043916,0.03588557696248492
film-noir,0.01101157569330054,,,,,0.011913097872260968,0.012685762975214896,0.011870145513592134
children,0.0438984419246388,0.03132576859664436,0.03253802875599083,0.03308857008038279,0.03290097773102535,0.030916227821022626,0.03400900238298373,0.03409671675609836
animation,0.020372975569585505,,,,,0.01872175597159458,0.014959966287399916,0.018018232609526664
musical,0.036929051601518006,,,,0.02974627589920167,0.0302100258771138,0.03101221379318284,0.03197439179275408
